NAME,state,county,county_fips,county_name,S1501_C02_009E,S1501_C02_011E,S1501_C02_012E,hs,associates,bachelors
"Fillmore County, Nebraska",31,046,31046,Fillmore,2.86,75.97,86.81,2.86,75.97,86.81
"Gage County, Nebraska",31,047,31047,Gage,46.58,28.11,20.66,46.58,28.11,20.66
"Jefferson County, Nebraska",31,048,31048,Jefferson,69.36,38.8,78.4,69.36,38.8,78.4
"Johnson County, Nebraska",31,049,31049,Johnson,99.98,87.45,81.09,99.98,87.45,81.09
"Nemaha County, Nebraska",31,050,31050,Nemaha,85.93,43.01,11.66,85.93,43.01,11.66
"Otoe County, Nebraska",31,051,31051,Otoe,60.37,88.4,16.97,60.37,88.4,16.97
"Pawnee County, Nebraska",31,052,31052,Pawnee,91.27,76.84,43.61,91.27,76.84,43.61
"Polk County, Nebraska",31,053,31053,Polk,15.53,88.49,68.04,15.53,88.49,68.04
"Richardson County, Nebraska",31,054,31054,Richardson,2.82,81.29,53.42,2.82,81.29,53.42
"Saline County, Nebraska",31,055,31055,Saline,14.59,65.26,95.5,14.59,65.26,95.5
"Thayer County, Nebraska",31,056,31056,Thayer,57.47,22.73,5.57,57.47,22.73,5.57
"York County, Nebraska",31,057,31057,York,51.53,77.08,16.11,51.53,77.08,16.11
"Arthur County, Nebraska",31,058,31058,Arthur,87.63,34.96,16.17,87.63,34.96,16.17
"Chase County, Nebraska",31,059,31059,Chase,61.96,41.88,62.37,61.96,41.88,62.37
"Dawson County, Nebraska",31,060,31060,Dawson,34.62,20.89,96.24,34.62,20.89,96.24
"Dundy County, Nebraska",31,061,31061,Dundy,85.53,98.04,23.07,85.53,98.04,23.07
"Frontier County, Nebraska",31,062,31062,Frontier,97.26,64.88,93.48,97.26,64.88,93.48
"Furnas County, Nebraska",31,063,31063,Furnas,60.06,0.79,84.53,60.06,0.79,84.53
"Gosper County, Nebraska",31,064,31064,Gosper,48.38,88.07,62.68,48.38,88.07,62.68
"Hayes County, Nebraska",31,065,31065,Hayes,24.92,69.95,56.41,24.92,69.95,56.41
"Hitchcock County, Nebraska",31,066,31066,Hitchcock,5.85,30.36,17.29,5.85,30.36,17.29
"Keith County, Nebraska",31,067,31067,Keith,99.3,49.08,13.05,99.3,49.08,13.05
"Lincoln County, Nebraska",31,068,31068,Lincoln,80.79,45.59,18.04,80.79,45.59,18.04
"Logan County, Nebraska",31,069,31069,Logan,22.27,13.21,76.88,22.27,13.21,76.88
"Mcpherson County, Nebraska",31,070,31070,McPherson,25.85,28.34,77.95,25.85,28.34,77.95
"Perkins County, Nebraska",31,071,31071,Perkins,56.12,42.23,14.39,56.12,42.23,14.39
"Red Willow County, Nebraska",31,072,31072,Red Willow,22.69,74.54,25.77,22.69,74.54,25.77
"Adams County, Nebraska",31,073,31073,Adams,44,76.81,9.24,44,76.81,9.24
"Buffalo County, Nebraska",31,074,31074,Buffalo,70.5,69.58,39.61,70.5,69.58,39.61
"Clay County, Nebraska",31,075,31075,Clay,45.38,16.25,62.75,45.38,16.25,62.75
"Franklin County, Nebraska",31,076,31076,Franklin,20.48,25.56,8.55,20.48,25.56,8.55
"Hall County, Nebraska",31,077,31077,Hall,30.64,27.1,29.97,30.64,27.1,29.97
"Hamilton County, Nebraska",31,078,31078,Hamilton,91.77,42.81,85.78,91.77,42.81,85.78
"Harlan County, Nebraska",31,079,31079,Harlan,60.2,8.54,65.63,60.2,8.54,65.63
"Howard County, Nebraska",31,080,31080,Howard,26.25,94,15.5,26.25,94,15.5
"Kearney County, Nebraska",31,081,31081,Kearney,32.11,9.07,82.42,32.11,9.07,82.42
"Merrick County, Nebraska",31,082,31082,Merrick,63.61,68.03,91.18,63.61,68.03,91.18
"Nuckolls County, Nebraska",31,083,31083,Nuckolls,69.55,54.45,88.41,69.55,54.45,88.41
"Phelps County, Nebraska",31,084,31084,Phelps,28.83,96.94,4.05,28.83,96.94,4.05
"Sherman County, Nebraska",31,085,31085,Sherman,5.53,44.57,89.69,5.53,44.57,89.69
"Webster County, Nebraska",31,086,31086,Webster,7.45,44.09,80.75,7.45,44.09,80.75
