NAME,state,county,county_fips,county_name,B08128_001E,B08128_061E,B08128_064E,B08128_069E,B08128_070E
"Sioux County, Nebraska",31,026,31026,Sioux,51.7,86.61,49.83,4.85,37.64
"Blaine County, Nebraska",31,027,31027,Blaine,79.05,70.23,31.14,31.26,94.67
"Boyd County, Nebraska",31,028,31028,Boyd,4.87,97.29,99.24,29.32,33.66
"Brown County, Nebraska",31,029,31029,Brown,46.85,92.74,65.41,86.14,49.44
"Cherry County, Nebraska",31,030,31030,Cherry,1.44,98.48,65.11,80.87,31.06
"Custer County, Nebraska",31,031,31031,Custer,46.16,22.7,1.35,30.56,70.99
"Garfield County, Nebraska",31,032,31032,Garfield,7.7,8.82,73.55,74.49,41.45
"Grant County, Nebraska",31,033,31033,Grant,86.34,52.64,90.94,92.66,74.4
"Greeley County, Nebraska",31,034,31034,Greeley,19.14,55.5,15.32,26.94,24.21
"Holt County, Nebraska",31,035,31035,Holt,45.25,58.44,70.38,4.06,65.49
"Hooker County, Nebraska",31,036,31036,Hooker,56.01,69.81,53.24,62.06,93.58
"Keya Paha County, Nebraska",31,037,31037,Keya Paha,75.45,69.97,18.43,68.17,9.6
"Loup County, Nebraska",31,038,31038,Loup,23.41,76.51,34.47,46.73,77.49
"Rock County, Nebraska",31,039,31039,Rock,72.93,24.23,25.01,88.69,23.19
"Thomas County, Nebraska",31,040,31040,Thomas,34.9,80.94,87.85,61.54,50.37
"Valley County, Nebraska",31,041,31041,Valley,93.91,9.89,30.27,6.92,78.27
"Wheeler County, Nebraska",31,042,31042,Wheeler,91.61,28.46,89.1,67.61,50.52
"Dakota County, Nebraska",31,043,31043,Dakota,89.75,95.78,34.55,40.01,48.33
"Dixon County, Nebraska",31,044,31044,Dixon,85.71,33.76,64.01,88.93,55.68
"Butler County, Nebraska",31,045,31045,Butler,10.44,22.22,87.35,38.82,24.68
"Fillmore County, Nebraska",31,046,31046,Fillmore,94.96,72.87,94.49,48.07,8.95
"Gage County, Nebraska",31,047,31047,Gage,5.98,43.28,56.01,0.68,80.77
"Jefferson County, Nebraska",31,048,31048,Jefferson,3.69,47.2,78.34,13.88,94.22
"Johnson County, Nebraska",31,049,31049,Johnson,10.03,75.02,31.39,39.41,87.46
"Nemaha County, Nebraska",31,050,31050,Nemaha,99.57,3.46,8.63,62.25,70.57
"Otoe County, Nebraska",31,051,31051,Otoe,49,79.92,62.44,24.39,83.15
"Pawnee County, Nebraska",31,052,31052,Pawnee,95.16,25.94,59.77,34.98,30.41
"Polk County, Nebraska",31,053,31053,Polk,87.04,42.16,0.98,27.61,80.26
"Richardson County, Nebraska",31,054,31054,Richardson,68.5,47.25,93.54,40.33,70.51
"Saline County, Nebraska",31,055,31055,Saline,47.11,61.65,19.28,20.39,0.94
"Thayer County, Nebraska",31,056,31056,Thayer,78.3,7.12,64.28,72.43,14.04
"York County, Nebraska",31,057,31057,York,25.6,36.39,10.39,27.82,46.75
"Arthur County, Nebraska",31,058,31058,Arthur,60.34,51.13,95.94,9.48,58.65
"Chase County, Nebraska",31,059,31059,Chase,28.25,22.78,48.78,31.54,10.42
"Dawson County, Nebraska",31,060,31060,Dawson,32.59,47.04,32.49,77.22,8.7
"Dundy County, Nebraska",31,061,31061,Dundy,43.33,47.14,8.9,2,62.72
"Frontier County, Nebraska",31,062,31062,Frontier,29.74,19.31,55.25,55.7,39.39
"Furnas County, Nebraska",31,063,31063,Furnas,15.34,15.83,42.52,82.1,10.44
"Gosper County, Nebraska",31,064,31064,Gosper,22.44,75.86,27.65,80.53,57.12
"Hayes County, Nebraska",31,065,31065,Hayes,28.38,59.29,99.43,89.32,50.85
"Hitchcock County, Nebraska",31,066,31066,Hitchcock,90.82,35.78,1.67,98.86,44.87
"Keith County, Nebraska",31,067,31067,Keith,96.51,57.74,96.23,29.16,88.33
"Lincoln County, Nebraska",31,068,31068,Lincoln,46.73,19.2,50.5,70.55,23.86
"Logan County, Nebraska",31,069,31069,Logan,65.35,91.76,55.23,84.65,27.2
"Mcpherson County, Nebraska",31,070,31070,McPherson,27.26,7.99,36.66,24.24,73.74
"Perkins County, Nebraska",31,071,31071,Perkins,24.29,3.9,79.56,85.85,72.44
"Red Willow County, Nebraska",31,072,31072,Red Willow,46.65,3.04,69.89,89.89,61.02
"Adams County, Nebraska",31,073,31073,Adams,80.68,8.11,0.83,41.46,80.79
"Buffalo County, Nebraska",31,074,31074,Buffalo,95.89,90.01,87.7,76.28,83.16
"Clay County, Nebraska",31,075,31075,Clay,84.51,13.17,38.95,58.21,6.09
"Franklin County, Nebraska",31,076,31076,Franklin,8.65,9.15,69.97,23.3,86.48
"Hall County, Nebraska",31,077,31077,Hall,24.65,95.14,76.24,59.71,94.82
"Hamilton County, Nebraska",31,078,31078,Hamilton,12.67,92.49,6.32,51.02,27.67
"Harlan County, Nebraska",31,079,31079,Harlan,78.53,14.26,77.46,86.44,20.66
"Howard County, Nebraska",31,080,31080,Howard,18.19,49.52,56.19,57.57,66.2
"Kearney County, Nebraska",31,081,31081,Kearney,78.32,0.33,17.09,97.81,87.37
"Merrick County, Nebraska",31,082,31082,Merrick,43.02,93.67,89.26,21.55,1.37
"Nuckolls County, Nebraska",31,083,31083,Nuckolls,8.6,24.75,40.12,96.73,23.77
"Phelps County, Nebraska",31,084,31084,Phelps,84.82,71.09,85.88,79.92,84.85
"Sherman County, Nebraska",31,085,31085,Sherman,87.27,10.33,1.94,75.88,59.06
"Webster County, Nebraska",31,086,31086,Webster,85.47,39.53,25.91,1.47,35.06
